run_id,model,prompt_id,rag_index,scope,n,tp,fp,tn,fn,invalid,recall,recall_lo,recall_hi,fpr,fpr_lo,fpr_hi,precision,precision_lo,precision_hi,f1,f1_lo,f1_hi,latency_mean,latency_median,tokens_in_mean,tokens_out_mean
main,gemma3:4b,p3,storico_base,nato_malevolo,28,24,0,0,4,1,0.8571428571428571,0.7142857142857143,0.9642857142857143,,,,1.0,1.0,1.0,0.9230769230769231,0.8333333333333334,0.9818181818181818,16.146464285714284,13.7075,2409.1428571428573,272.25
main,gemma3:4b,p3,storico_base,compromesso,12,9,0,0,3,0,0.75,0.5,1.0,,,,1.0,1.0,1.0,0.8571428571428571,0.6666666666666666,1.0,15.388750000000002,13.055,2721.5,235.25
main,gemma3:4b,p3,storico_base,shai_hulud_w1,5,5,0,0,0,0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,11.7842,11.777,2948.6,193.0
main,gemma3:4b,p3,storico_base,shai_hulud_w2,5,5,0,0,0,0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,15.9562,15.517,4101.2,231.8
main,gemma3:4b,p3,storico_base,shai_hulud_w3,5,5,0,0,0,0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,16.234199999999998,15.156,3067.8,227.8
main,gemma3:4b,p3,storico_base,benigno_popolare,20,0,11,9,0,0,,,,0.55,0.3,0.75,0.0,0.0,0.0,0.0,0.0,0.0,16.82855,12.051,3274.55,234.55
main,gemma3:4b,p3,storico_base,benigno_difficile,20,0,9,11,0,0,,,,0.45,0.25,0.65,0.0,0.0,0.0,0.0,0.0,0.0,16.440099999999994,14.489,2938.35,252.1
main,gemma3:4b,p3,storico_base,pulito_accoppiato,14,0,4,10,0,1,,,,0.2857142857142857,0.07142857142857142,0.5,0.0,0.0,0.0,0.0,0.0,0.0,17.126285714285714,10.5085,2208.714285714286,223.28571428571428
main,llama3.2:3b,p0,,all,109,46,33,21,9,0,0.8363636363636363,0.7321085164835165,0.9298548094373865,0.6111111111111112,0.4807291666666667,0.7400185185185185,0.5822784810126582,0.47559451219512194,0.6923333333333332,0.6865671641791045,0.5919826086956521,0.7703048520961907,6.868917431192659,5.788,875.7339449541284,195.045871559633
main,llama3.2:3b,p0,,shai_hulud,15,15,0,0,0,0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,7.719266666666667,6.13,1032.7333333333333,203.13333333333333
main,llama3.2:3b,p0,,nato_malevolo,28,23,0,0,5,0,0.8214285714285714,0.6785714285714286,0.9642857142857143,,,,1.0,1.0,1.0,0.9019607843137255,0.8085106382978723,0.9818181818181818,6.29925,5.5855,716.5357142857143,191.28571428571428
main,llama3.2:3b,p0,,compromesso,12,8,0,0,4,0,0.6666666666666666,0.4166666666666667,0.9166666666666666,,,,1.0,1.0,1.0,0.8,0.5882352941176471,0.9565217391304348,6.445250000000001,5.586,810.5833333333334,186.91666666666666
main,llama3.2:3b,p0,,shai_hulud_w1,5,5,0,0,0,0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,5.854,5.148,662.2,150.8
main,llama3.2:3b,p0,,shai_hulud_w2,5,5,0,0,0,0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,7.005000000000001,6.13,1361.2,156.8
main,llama3.2:3b,p0,,shai_hulud_w3,5,5,0,0,0,0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,10.2988,8.412,1074.8,301.8
main,llama3.2:3b,p0,,benigno_popolare,20,0,11,9,0,0,,,,0.55,0.3,0.75,0.0,0.0,0.0,0.0,0.0,0.0,8.21055,6.98,1225.85,209.25
main,llama3.2:3b,p0,,benigno_difficile,20,0,16,4,0,0,,,,0.8,0.6,0.95,0.0,0.0,0.0,0.0,0.0,0.0,6.701600000000001,5.5344999999999995,878.1,190.3
main,llama3.2:3b,p0,,pulito_accoppiato,14,0,6,8,0,0,,,,0.42857142857142855,0.21428571428571427,0.6446428571428555,0.0,0.0,0.0,0.0,0.0,0.0,5.782714285714285,4.965,578.2142857142857,187.35714285714286
main,llama3.2:3b,p1,,all,109,43,25,29,12,0,0.7818181818181819,0.6665384615384615,0.896551724137931,0.46296296296296297,0.3331896551724138,0.5918556311413454,0.6323529411764706,0.5205342465753424,0.7464788732394366,0.6991869918699187,0.6037234930706294,0.7852405949256342,7.634880733944953,5.851,1207.7339449541284,219.14678899082568
main,llama3.2:3b,p1,,shai_hulud,15,14,0,0,1,0,0.9333333333333333,0.8,1.0,,,,1.0,1.0,1.0,0.9655172413793104,0.8888888888888888,1.0,6.9948000000000015,7.082,1364.7333333333333,188.6
main,llama3.2:3b,p1,,nato_malevolo,28,19,0,0,9,0,0.6785714285714286,0.5,0.8571428571428571,,,,1.0,1.0,1.0,0.8085106382978723,0.6666666666666666,0.9230769230769231,6.209392857142858,5.496,1048.5357142857142,187.17857142857142
main,llama3.2:3b,p1,,compromesso,12,10,0,0,2,0,0.8333333333333334,0.5833333333333334,1.0,,,,1.0,1.0,1.0,0.9090909090909091,0.7368421052631579,1.0,6.425583333333332,6.0985,1142.5833333333333,177.33333333333334
main,llama3.2:3b,p1,,shai_hulud_w1,5,5,0,0,0,0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,5.7494,5.273,994.2,176.6
main,llama3.2:3b,p1,,shai_hulud_w2,5,5,0,0,0,0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,7.798,7.163,1693.2,184.4
main,llama3.2:3b,p1,,shai_hulud_w3,5,4,0,0,1,0,0.8,0.4,1.0,,,,1.0,1.0,1.0,0.8888888888888888,0.5714285714285714,1.0,7.437,7.138,1406.8,204.8
main,llama3.2:3b,p1,,benigno_popolare,20,0,9,11,0,0,,,,0.45,0.25,0.65,0.0,0.0,0.0,0.0,0.0,0.0,10.488199999999999,6.255,1557.85,274.05
main,llama3.2:3b,p1,,benigno_difficile,20,0,13,7,0,0,,,,0.65,0.45,0.85,0.0,0.0,0.0,0.0,0.0,0.0,7.49855,6.6455,1210.1,218.05
main,llama3.2:3b,p1,,pulito_accoppiato,14,0,3,11,0,0,,,,0.21428571428571427,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,8.326785714285714,5.5635,910.2142857142857,274.7857142857143
main,llama3.2:3b,p2,,all,109,38,10,44,17,9,0.6909090909090909,0.5635454545454546,0.8113207547169812,0.18518518518518517,0.0847457627118644,0.28578296703296696,0.7916666666666666,0.6785714285714286,0.9000490196078431,0.7378640776699029,0.6336381087088301,0.8316831683168316,9.804036697247707,6.1,2448.733944954128,259.8073394495413
main,llama3.2:3b,p2,,shai_hulud,15,11,0,0,4,3,0.7333333333333333,0.4666666666666667,0.9333333333333333,,,,1.0,1.0,1.0,0.8461538461538461,0.6363636363636364,0.9655172413793104,12.539333333333333,8.887,2605.733333333333,361.8666666666667
main,llama3.2:3b,p2,,nato_malevolo,28,20,0,0,8,1,0.7142857142857143,0.5357142857142857,0.8580357142857135,,,,1.0,1.0,1.0,0.8333333333333334,0.6976744186046512,0.923584905660377,8.63325,6.359500000000001,2289.535714285714,245.96428571428572
main,llama3.2:3b,p2,,compromesso,12,7,0,0,5,1,0.5833333333333334,0.25,0.8333333333333334,,,,1.0,1.0,1.0,0.7368421052631579,0.4,0.9090909090909091,8.071916666666667,5.6675,2383.5833333333335,192.25
main,llama3.2:3b,p2,,shai_hulud_w1,5,5,0,0,0,0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,5.942,4.992,2235.2,151.2
main,llama3.2:3b,p2,,shai_hulud_w2,5,4,0,0,1,0,0.8,0.4,1.0,,,,1.0,1.0,1.0,0.8888888888888888,0.5714285714285714,1.0,9.3746,8.887,2934.2,220.4
main,llama3.2:3b,p2,,shai_hulud_w3,5,2,0,0,3,3,0.4,0.0,0.8,,,,1.0,1.0,1.0,0.5714285714285714,0.0,0.8888888888888888,22.3014,26.356,2647.8,714.0
main,llama3.2:3b,p2,,benigno_popolare,20,0,1,19,0,1,,,,0.05,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,11.3575,8.4275,2798.85,271.95
main,llama3.2:3b,p2,,benigno_difficile,20,0,7,13,0,2,,,,0.35,0.15,0.55,0.0,0.0,0.0,0.0,0.0,0.0,10.26975,5.4510000000000005,2451.1,274.4
main,llama3.2:3b,p2,,pulito_accoppiato,14,0,2,12,0,1,,,,0.14285714285714285,0.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,7.815071428571429,5.4805,2151.214285714286,197.85714285714286
main,llama3.2:3b,p3,storico_base,all,109,39,20,34,16,0,0.7090909090909091,0.5848663522012578,0.8363636363636363,0.37037037037037035,0.24527339237581824,0.49122807017543857,0.6610169491525424,0.539616402116402,0.7833578431372549,0.6842105263157895,0.5765185978057266,0.77688246097337,11.209284403669724,9.465,2463.045871559633,236.8440366972477
main,llama3.2:3b,p3,storico_base,shai_hulud,15,13,0,0,2,0,0.8666666666666667,0.6666666666666666,1.0,,,,1.0,1.0,1.0,0.9285714285714286,0.8,1.0,14.1454,12.865,2918.266666666667,314.93333333333334
main,llama3.2:3b,p3,storico_base,nato_malevolo,28,19,0,0,9,0,0.6785714285714286,0.5,0.8214285714285714,,,,1.0,1.0,1.0,0.8085106382978723,0.6666666666666666,0.9019607843137255,9.99475,8.620000000000001,2202.25,219.14285714285714
main,llama3.2:3b,p3,storico_base,compromesso,12,7,0,0,5,0,0.5833333333333334,0.3333333333333333,0.8333333333333334,,,,1.0,1.0,1.0,0.7368421052631579,0.5,0.9090909090909091,9.854583333333332,8.6145,2349.6666666666665,195.33333333333334
main,llama3.2:3b,p3,storico_base,shai_hulud_w1,5,5,0,0,0,0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,16.031799999999997,12.865,2563.2,407.4
main,llama3.2:3b,p3,storico_base,shai_hulud_w2,5,5,0,0,0,0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,12.895999999999997,13.077,3528.2,238.8
main,llama3.2:3b,p3,storico_base,shai_hulud_w3,5,3,0,0,2,0,0.6,0.2,1.0,,,,1.0,1.0,1.0,0.75,0.3333333333333333,1.0,13.5084,11.836,2663.4,298.6
main,llama3.2:3b,p3,storico_base,benigno_popolare,20,0,10,10,0,0,,,,0.5,0.3,0.75,0.0,0.0,0.0,0.0,0.0,0.0,13.803650000000001,9.9985,2840.45,271.45
main,llama3.2:3b,p3,storico_base,benigno_difficile,20,0,9,11,0,0,,,,0.45,0.25,0.65,0.0,0.0,0.0,0.0,0.0,0.0,10.61185,9.5135,2534.75,218.95
main,llama3.2:3b,p3,storico_base,pulito_accoppiato,14,0,1,13,0,0,,,,0.07142857142857142,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,8.800928571428573,7.3534999999999995,1952.5,200.28571428571428
main,qwen2.5-coder:7b,p0,,all,109,48,32,22,7,0,0.8727272727272727,0.7691964285714287,0.9574689716312057,0.5925925925925926,0.4642857142857143,0.7170390599139357,0.6,0.5,0.7051282051282052,0.7111111111111111,0.6178861788617886,0.7945250839154495,11.208963302752293,9.768,899.348623853211,188.4678899082569
main,qwen2.5-coder:7b,p0,,shai_hulud,15,14,0,0,1,0,0.9333333333333333,0.8,1.0,,,,1.0,1.0,1.0,0.9655172413793104,0.8888888888888888,1.0,12.368066666666667,11.209,1069.0666666666666,189.93333333333334
main,qwen2.5-coder:7b,p0,,nato_malevolo,28,25,0,0,3,0,0.8928571428571429,0.7848214285714286,1.0,,,,1.0,1.0,1.0,0.9433962264150944,0.8794285714285714,1.0,10.067821428571426,9.071,734.2857142857143,180.25
main,qwen2.5-coder:7b,p0,,compromesso,12,9,0,0,3,0,0.75,0.5,1.0,,,,1.0,1.0,1.0,0.8571428571428571,0.6666666666666666,1.0,9.975,9.0545,829.3333333333334,170.75
main,qwen2.5-coder:7b,p0,,shai_hulud_w1,5,5,0,0,0,0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,10.7748,10.135,671.4,177.6
main,qwen2.5-coder:7b,p0,,shai_hulud_w2,5,5,0,0,0,0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,14.124799999999999,12.465,1409.6,204.2
